interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;100.00;EdgeMesurements;0;11.73;0;18;1010;12;12;3.91;0;1.94;46.04;570.54;10.67;123.16;45.57;55.00
0.00;100.00;EdgeMesurements;0;3.19;0;3;1013;5;5;1.06;0;0.52;52.31;155.00;9.39;49.34;51.78;15.00
0.00;100.00;EdgeMesurements;0;4.30;0;4;1016;13;13;1.43;0;0.71;53.18;209.30;9.24;73.92;52.64;28.00
0.00;100.00;EdgeMesurements;0;10.87;0;18;1023;17;17;3.62;5;1.79;42.46;528.62;11.57;71.33;41.83;14.00
0.00;100.00;EdgeMesurements;0;4.01;0;9;1027;7;7;1.34;3;0.66;37.22;195.05;13.20;9.03;36.84;0.00
0.00;100.00;EdgeMesurements;0;0.70;0;1;1028;2;2;0.23;0;0.12;36.71;33.15;13.02;2.36;36.33;0.00
0.00;100.00;EdgeMesurements;0;0.84;0;3;1031;0;0;0.28;0;0.14;37.29;40.63;13.18;0.36;36.91;0.00
0.00;100.00;EdgeMesurements;0;4.92;0;6;1035;5;5;1.64;0;0.81;47.09;232.72;10.15;60.71;46.60;24.00
0.00;100.00;EdgeMesurements;0;0.60;0;1;1036;2;2;0.20;0;0.10;39.39;28.16;12.13;0.29;38.97;0.00
0.00;100.00;EdgeMesurements;0;2.82;3;0;1037;4;4;0.94;3;0.46;46.24;137.27;10.63;29.20;44.85;0.00
0.00;100.00;EdgeMesurements;0;6.05;2;6;1038;5;5;2.02;2;1.00;44.40;286.06;10.76;68.94;43.73;37.00
0.00;100.00;EdgeMesurements;0;5.94;4;3;1039;4;4;1.98;6;0.98;40.92;281.06;11.68;38.62;40.06;0.00
0.00;100.00;EdgeMesurements;0;6.94;5;3;1040;3;3;2.31;5;1.14;61.64;328.06;7.75;150.12;60.67;83.00
0.00;100.00;EdgeMesurements;0;4.29;4;1;1041;6;6;1.43;4;0.71;43.56;208.80;11.28;39.60;42.37;0.00
0.00;100.00;EdgeMesurements;0;9.30;5;3;1042;16;16;3.10;6;1.54;59.12;439.56;8.08;185.77;58.20;105.00
0.00;100.00;EdgeMesurements;0;4.26;4;2;1043;1;1;1.42;4;0.70;40.92;201.32;11.68;26.98;40.24;0.00
0.00;100.00;EdgeMesurements;0;3.67;0;5;1044;6;6;1.22;2;0.60;42.35;173.47;11.28;26.64;41.60;0.00
0.00;100.00;EdgeMesurements;0;0.46;0;2;1046;0;0;0.15;0;0.07;34.07;21.69;14.02;0.74;33.72;0.00
0.00;100.00;EdgeMesurements;0;0.82;0;2;1047;0;0;0.27;1;0.13;34.89;40.06;14.08;1.11;34.55;0.00
0.00;100.00;EdgeMesurements;0;3.92;0;7;1048;5;5;1.31;2;0.64;40.27;185.43;11.86;22.38;39.68;0.00
0.00;100.00;EdgeMesurements;0;11.81;0;19;1050;15;15;3.94;6;1.94;41.63;574.39;11.80;86.32;41.00;9.00
0.00;100.00;EdgeMesurements;0;3.38;0;4;1053;8;8;1.13;4;0.55;41.05;164.21;11.97;29.65;40.39;1.00
0.00;100.00;EdgeMesurements;0;5.82;4;2;1055;2;2;1.94;6;0.96;46.22;275.32;10.34;66.88;45.26;20.00
0.00;100.00;EdgeMesurements;0;3.61;4;0;1056;2;2;1.20;4;0.59;44.36;175.58;11.08;39.46;43.04;0.00
0.00;100.00;EdgeMesurements;0;3.91;2;6;1057;7;7;1.30;2;0.64;43.83;184.75;10.90;40.40;43.09;21.00
0.00;100.00;EdgeMesurements;0;3.56;4;0;1058;13;13;1.19;4;0.59;43.82;173.21;11.21;23.92;42.87;0.00
0.00;100.00;EdgeMesurements;1;5.19;3;3;1060;3;3;1.73;3;0.86;46.58;245.53;10.26;69.20;45.80;35.00
0.00;100.00;EdgeMesurements;0;10.27;9;5;1061;16;16;3.42;10;1.69;40.79;485.45;11.71;71.28;40.17;3.00
0.00;100.00;EdgeMesurements;0;2.65;2;1;1062;4;4;0.88;3;0.44;43.34;129.14;11.34;18.61;42.28;0.00
0.00;100.00;EdgeMesurements;0;5.15;3;4;1063;5;5;1.72;5;0.85;40.68;243.50;11.75;35.57;39.87;0.00
0.00;100.00;EdgeMesurements;0;4.14;3;3;1064;11;11;1.38;4;0.68;36.67;195.89;13.03;14.06;36.14;0.00
0.00;100.00;EdgeMesurements;1;9.26;3;7;1065;5;5;3.09;4;1.53;52.85;437.68;9.04;147.64;52.05;80.00
0.00;100.00;EdgeMesurements;0;6.97;5;4;1066;5;5;2.32;7;1.15;38.70;338.87;12.70;38.37;38.00;0.00
0.00;100.00;EdgeMesurements;0;9.27;5;3;1067;10;10;3.09;6;1.53;64.63;438.38;7.39;202.29;63.51;122.00
0.00;100.00;EdgeMesurements;0;10.42;3;8;1068;15;15;3.47;6;1.72;45.74;492.44;10.45;139.58;45.05;60.00
0.00;100.00;EdgeMesurements;0;8.59;5;3;1069;14;14;2.86;6;1.42;57.01;406.04;8.38;158.84;55.89;81.00
0.00;100.00;EdgeMesurements;0;6.27;4;1;1071;8;8;2.09;5;1.03;59.77;296.30;7.99;110.61;58.60;50.00
0.00;100.00;EdgeMesurements;0;9.14;5;9;1072;20;20;3.05;5;1.51;42.61;431.91;11.21;87.96;42.07;38.00
0.00;100.00;EdgeMesurements;0;6.64;5;4;1073;9;9;2.21;6;1.09;38.55;313.73;12.39;38.69;37.79;0.00
0.00;100.00;EdgeMesurements;0;2.28;1;1;1075;2;2;0.76;2;0.38;54.26;107.95;8.81;39.47;53.06;23.00
0.00;100.00;EdgeMesurements;0;5.53;4;4;1076;13;13;1.84;6;0.91;39.12;261.47;12.22;39.59;38.41;0.00
0.00;100.00;EdgeMesurements;0;4.68;5;0;1077;8;8;1.56;5;0.77;45.98;227.51;10.69;50.79;44.61;0.00
0.00;100.00;EdgeMesurements;0;5.53;4;3;1078;9;9;1.84;6;0.91;40.19;268.96;12.23;36.54;39.23;0.00
0.00;100.00;EdgeMesurements;0;5.20;0;5;1080;12;12;1.73;0;0.86;51.57;252.93;9.53;81.42;51.04;27.00
0.00;100.00;EdgeMesurements;0;1.99;0;2;1085;4;4;0.66;1;0.33;48.65;96.70;10.10;19.57;47.91;3.00
0.00;100.00;EdgeMesurements;0;2.31;0;2;1088;3;3;0.77;0;0.38;57.36;112.43;8.57;41.90;56.77;23.00
0.00;100.00;EdgeMesurements;0;4.97;0;5;1089;6;6;1.66;3;0.82;48.75;241.81;10.08;61.38;48.01;21.00
0.00;100.00;EdgeMesurements;0;1.53;0;2;1092;2;2;0.51;0;0.25;49.75;74.51;9.88;21.42;49.24;10.00
0.00;100.00;EdgeMesurements;0;4.21;0;6;1093;5;5;1.40;2;0.69;41.76;204.61;11.77;35.45;41.14;3.00
0.00;100.00;EdgeMesurements;0;2.75;0;4;1096;0;0;0.92;1;0.46;43.56;133.89;11.28;26.43;42.99;13.00
0.00;100.00;EdgeMesurements;0;3.69;0;4;1105;7;7;1.23;0;0.61;50.12;179.43;9.80;52.86;49.61;17.00
0.00;100.00;EdgeMesurements;0;1.45;0;2;1108;0;0;0.48;1;0.24;37.41;70.66;13.14;5.30;36.74;0.00
0.00;100.00;EdgeMesurements;0;10.93;0;18;1113;19;19;3.64;9;1.80;39.85;531.41;12.33;75.30;39.21;6.00
0.00;100.00;EdgeMesurements;0;0.15;0;2;1115;1;1;0.05;0;0.02;39.51;7.42;12.44;0.80;39.11;0.00
0.00;100.00;EdgeMesurements;0;0.63;0;1;1116;0;0;0.21;0;0.10;38.72;30.72;12.69;0.19;38.33;0.00
0.00;100.00;EdgeMesurements;0;1.92;0;8;1117;2;2;0.64;0;0.31;34.48;90.99;13.86;5.08;34.12;0.00
0.00;100.00;EdgeMesurements;0;3.40;4;2;1119;5;5;1.13;4;0.56;40.33;165.38;12.19;19.30;39.71;0.00
0.00;100.00;EdgeMesurements;0;2.78;2;0;1120;0;0;0.93;2;0.46;66.51;131.61;7.18;59.73;65.09;37.00
0.00;100.00;EdgeMesurements;0;5.14;6;0;1121;8;8;1.71;6;0.85;40.96;243.13;11.67;44.11;40.16;0.00
0.00;100.00;EdgeMesurements;0;1.68;2;0;1122;2;2;0.56;2;0.28;41.39;81.92;11.87;16.02;40.12;0.00
0.00;100.00;EdgeMesurements;0;2.78;0;7;1123;6;6;0.93;3;0.46;34.72;135.35;14.15;3.43;34.37;0.00
0.00;100.00;EdgeMesurements;0;2.84;0;6;1124;7;7;0.95;2;0.46;38.08;134.07;12.55;16.92;37.43;0.00
0.00;100.00;EdgeMesurements;0;0.69;0;1;1126;0;0;0.23;1;0.11;33.57;33.57;14.64;1.11;33.24;0.00
0.00;100.00;EdgeMesurements;0;0.73;0;2;1135;3;3;0.24;0;0.12;35.83;35.33;13.71;2.48;35.47;0.00
0.00;100.00;EdgeMesurements;0;0.63;0;3;1136;0;0;0.21;0;0.10;37.03;30.72;13.27;1.57;36.66;0.00
0.00;100.00;EdgeMesurements;0;9.89;0;18;1140;10;10;3.30;4;1.63;40.71;481.03;12.07;59.80;40.19;9.00
0.00;100.00;EdgeMesurements;0;2.35;0;2;1147;5;5;0.78;0;0.39;57.83;114.25;8.50;49.94;57.24;26.00
0.00;100.00;EdgeMesurements;0;12.51;0;18;1150;10;10;4.17;8;2.06;42.25;608.39;11.63;112.44;41.59;24.00
0.00;100.00;EdgeMesurements;0;0.60;0;1;1200;0;0;0.20;0;0.10;34.27;30.11;14.74;0.00;33.93;0.00
0.00;100.00;EdgeMesurements;0;18.71;27;0;1201;79;79;6.24;19;3.10;41.23;935.49;12.25;108.68;40.76;3.00
0.00;100.00;EdgeMesurements;0;18.92;26;0;1202;32;32;6.31;18;3.14;44.31;945.78;11.40;151.72;43.76;16.00
0.00;100.00;EdgeMesurements;0;18.86;26;0;1205;36;36;6.29;18;3.13;42.48;943.01;11.89;111.11;41.98;7.00
0.00;100.00;EdgeMesurements;0;17.99;28;0;1207;65;65;6.00;18;2.99;40.58;899.36;12.44;108.61;40.13;3.00
0.00;100.00;EdgeMesurements;0;0.56;0;1;1208;0;0;0.19;0;0.09;33.36;28.14;15.14;0.00;33.03;0.00
0.00;100.00;EdgeMesurements;0;19.05;27;0;1209;22;22;6.35;18;3.16;41.11;952.58;12.29;122.71;40.62;4.00
0.00;100.00;EdgeMesurements;0;17.80;26;0;1211;25;25;5.93;18;2.95;43.99;890.06;11.48;149.45;43.47;3.00
100.00;200.00;EdgeMesurements;2;2.07;0;4;-1202;0;0;0.69;0;0.34;32.61;103.64;15.48;0.07;32.29;0.00
100.00;200.00;EdgeMesurements;0;33.37;0;26;1010;30;30;11.12;32;5.49;59.66;1622.89;8.24;652.36;58.25;218.00
100.00;200.00;EdgeMesurements;0;4.82;0;4;1013;4;4;1.61;4;0.79;73.82;234.64;6.66;127.31;72.53;92.00
100.00;200.00;EdgeMesurements;1;6.36;0;6;1016;18;18;2.12;4;1.04;52.76;309.16;9.31;111.34;51.81;54.00
100.00;200.00;EdgeMesurements;0;23.14;0;26;1023;27;27;7.71;28;3.81;40.36;1125.74;12.18;139.41;39.78;19.00
100.00;200.00;EdgeMesurements;0;0.59;0;1;1026;2;2;0.20;0;0.10;36.51;28.55;13.46;0.43;36.14;0.00
100.00;200.00;EdgeMesurements;0;20.22;0;31;1027;24;24;6.74;26;3.33;36.72;983.51;13.38;33.47;36.35;0.00
100.00;200.00;EdgeMesurements;0;4.04;0;4;1028;3;3;1.35;3;0.66;49.65;191.03;9.62;46.70;48.59;21.00
100.00;200.00;EdgeMesurements;0;3.20;0;4;1030;6;6;1.07;0;0.53;40.75;155.50;12.06;17.83;40.34;0.00
100.00;200.00;EdgeMesurements;0;23.16;0;26;1031;17;17;7.72;13;3.82;49.36;1126.48;9.96;308.78;48.51;126.00
100.00;200.00;EdgeMesurements;0;3.56;0;6;1033;3;3;1.19;4;0.59;33.21;173.26;14.80;5.70;32.89;0.00
100.00;200.00;EdgeMesurements;0;4.02;0;8;1034;13;13;1.34;4;0.66;37.87;195.46;12.97;8.42;37.50;0.00
100.00;200.00;EdgeMesurements;0;17.96;0;27;1035;32;32;5.99;12;2.95;43.77;849.17;10.92;180.41;43.06;56.00
100.00;200.00;EdgeMesurements;5;14.92;0;21;1036;9;9;4.97;2;2.46;46.61;705.54;10.25;174.43;46.09;95.00
100.00;200.00;EdgeMesurements;0;3.75;3;2;1037;7;7;1.25;4;0.61;43.04;182.19;11.42;33.31;41.76;0.00
100.00;200.00;EdgeMesurements;0;13.35;2;11;1038;16;16;4.45;9;2.20;52.18;630.99;9.16;190.75;51.13;70.00
100.00;200.00;EdgeMesurements;2;20.43;4;19;1039;21;21;6.81;13;3.36;45.90;965.85;10.41;223.12;45.09;80.00
100.00;200.00;EdgeMesurements;2;12.89;5;4;1040;9;9;4.30;9;2.13;55.72;609.63;8.57;215.37;54.83;94.00
100.00;200.00;EdgeMesurements;0;5.84;4;3;1041;10;10;1.95;6;0.96;43.03;284.12;11.42;54.14;41.80;0.00
100.00;200.00;EdgeMesurements;0;12.91;5;8;1042;22;22;4.30;8;2.12;58.60;610.51;8.15;246.34;57.02;131.00
