interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;100.00;EdgeMesurements;0;0.25;0;2;10;1;1;0.08;0;0.04;45.33;11.71;10.54;2.20;44.86;0.00
0.00;100.00;EdgeMesurements;0;2.14;0;4;14;6;6;0.71;1;0.35;34.37;101.09;13.90;7.46;34.03;0.00
0.00;100.00;EdgeMesurements;0;3.50;5;0;16;5;5;1.17;4;0.58;40.65;165.58;11.75;28.84;39.83;0.00
0.00;100.00;EdgeMesurements;0;4.34;3;0;17;2;2;1.45;3;0.72;69.11;205.11;6.91;110.14;67.76;66.00
0.00;100.00;EdgeMesurements;0;7.93;3;6;18;3;3;2.64;1;1.31;60.29;374.99;7.93;164.59;59.63;103.00
0.00;100.00;EdgeMesurements;0;4.49;5;1;19;6;6;1.50;4;0.74;42.37;212.08;11.28;33.45;41.51;0.00
0.00;100.00;EdgeMesurements;0;3.33;5;1;20;1;1;1.11;3;0.55;43.34;157.25;11.02;25.84;42.64;0.00
0.00;100.00;EdgeMesurements;0;5.63;4;0;21;2;2;1.88;1;0.93;71.81;266.04;6.65;146.47;69.16;95.00
0.00;100.00;EdgeMesurements;0;5.99;4;4;22;3;3;2.00;5;0.98;42.47;283.37;11.25;36.27;41.67;0.00
0.00;100.00;EdgeMesurements;0;8.07;3;6;23;12;12;2.69;7;1.32;46.42;381.52;10.29;101.74;45.41;37.00
0.00;100.00;EdgeMesurements;0;6.39;4;0;24;2;2;2.13;0;1.06;96.50;302.00;4.95;195.79;95.49;157.00
0.00;100.00;EdgeMesurements;0;6.12;5;1;25;4;4;2.04;4;1.01;55.28;289.15;8.64;111.25;54.21;55.00
0.00;100.00;EdgeMesurements;0;3.02;4;0;26;2;2;1.01;3;0.50;41.66;142.76;11.47;19.57;40.89;0.00
0.00;100.00;EdgeMesurements;0;7.12;3;6;27;4;4;2.37;5;1.17;45.13;336.84;10.59;73.52;44.32;22.00
0.00;100.00;EdgeMesurements;0;3.45;0;4;3;1;1;1.15;4;0.56;40.81;163.23;11.71;28.77;39.97;0.00
0.00;100.00;EdgeMesurements;0;2.99;0;3;30;4;4;1.00;1;0.49;47.71;141.18;10.01;36.51;47.26;11.00
0.00;100.00;EdgeMesurements;0;0.87;0;1;31;0;0;0.29;1;0.14;41.28;41.28;11.57;3.76;40.46;0.00
