interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;5.00;EdgeMesurements_lower;0;2.54;3;0;16;0;0;0.85;0;0.42;52.66;6.00;9.07;2.32;52.11;0.00
0.00;5.00;EdgeMesurements_lower;0;3.81;3;0;17;0;0;1.27;0;0.63;43.26;9.00;11.04;2.64;42.81;0.00
0.00;5.00;EdgeMesurements_lower;0;3.38;2;0;18;0;0;1.13;0;0.56;48.21;8.00;9.91;2.29;47.71;0.00
0.00;5.00;EdgeMesurements_lower;0;4.65;3;0;19;0;0;1.55;0;0.78;46.58;11.00;10.26;2.41;46.09;0.00
0.00;5.00;EdgeMesurements_lower;0;4.65;3;0;20;0;0;1.55;0;0.78;55.76;11.00;8.57;3.56;55.18;0.00
0.00;5.00;EdgeMesurements_lower;0;3.38;3;0;21;0;0;1.13;0;0.56;47.67;8.00;10.02;2.77;47.17;0.00
0.00;5.00;EdgeMesurements_lower;0;3.81;3;0;22;0;0;1.27;0;0.63;50.45;9.00;9.47;2.60;49.93;0.00
0.00;5.00;EdgeMesurements_lower;0;4.23;3;0;23;0;0;1.41;0;0.71;47.29;10.00;10.10;2.20;46.79;0.00
0.00;5.00;EdgeMesurements_lower;0;3.38;3;0;24;0;0;1.13;0;0.56;47.30;8.00;10.10;2.18;46.80;0.00
0.00;5.00;EdgeMesurements_lower;0;2.54;2;0;25;0;0;0.85;0;0.42;88.43;6.00;5.40;3.88;87.51;0.00
0.00;5.00;EdgeMesurements_lower;0;3.38;3;0;26;1;1;1.13;0;0.56;48.99;8.00;9.75;2.02;48.48;0.00
0.00;5.00;EdgeMesurements_lower;0;4.23;3;0;27;0;0;1.41;0;0.71;65.38;10.00;7.31;5.03;64.69;0.00
0.00;5.00;EdgeMesurements_lower;0;4.65;4;0;34;0;0;1.55;0;0.78;51.63;11.00;9.25;4.03;51.09;0.00
0.00;5.00;EdgeMesurements_lower;0;5.08;4;0;35;0;0;1.69;0;0.85;46.97;12.00;10.17;2.79;46.48;0.00
0.00;5.00;EdgeMesurements_lower;0;1.69;1;0;36;0;0;0.56;0;0.28;58.43;4.00;8.18;1.90;57.82;0.00
0.00;5.00;EdgeMesurements_lower;0;4.23;3;0;37;0;0;1.41;0;0.71;62.83;10.00;7.61;4.31;62.17;0.00
