interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;100.00;EdgeMesurements;0;4.32;0;6;10;11;11;1.44;5;0.70;36.87;204.15;12.96;27.21;36.27;0.00
0.00;100.00;EdgeMesurements;0;1.86;0;3;14;5;5;0.62;0;0.31;38.31;88.14;12.47;6.16;37.91;0.00
0.00;100.00;EdgeMesurements;0;2.68;4;0;16;1;1;0.89;3;0.44;40.51;126.70;11.79;18.22;39.80;0.00
0.00;100.00;EdgeMesurements;0;4.28;3;0;17;6;6;1.43;3;0.70;68.10;202.13;7.02;93.60;66.62;44.00
0.00;100.00;EdgeMesurements;0;2.69;4;0;18;1;1;0.90;2;0.45;48.86;127.25;9.78;39.49;47.93;21.00
0.00;100.00;EdgeMesurements;0;7.30;5;1;19;15;15;2.43;2;1.20;65.36;345.28;7.31;175.60;63.29;122.00
0.00;100.00;EdgeMesurements;0;1.45;1;1;20;2;2;0.48;1;0.24;35.52;68.53;13.45;3.40;34.94;0.00
0.00;100.00;EdgeMesurements;0;11.65;8;1;21;9;9;3.88;1;1.94;77.54;550.86;6.16;291.45;76.78;213.00
0.00;100.00;EdgeMesurements;0;2.68;3;1;22;1;1;0.89;2;0.44;49.35;126.60;9.68;41.36;48.29;21.00
0.00;100.00;EdgeMesurements;0;3.21;3;3;23;2;2;1.07;3;0.53;38.24;151.98;12.49;8.86;37.73;0.00
0.00;100.00;EdgeMesurements;0;5.06;6;0;24;4;4;1.69;5;0.83;41.75;239.40;11.44;56.39;40.61;0.00
0.00;100.00;EdgeMesurements;0;8.76;4;5;25;22;22;2.92;4;1.45;56.68;414.33;8.43;165.88;55.90;108.00
0.00;100.00;EdgeMesurements;0;1.17;2;0;26;0;0;0.39;1;0.19;36.85;55.09;12.97;7.35;36.28;0.00
0.00;100.00;EdgeMesurements;0;4.81;4;4;27;5;5;1.60;5;0.79;38.41;227.58;12.44;26.00;37.71;0.00
0.00;100.00;EdgeMesurements;0;2.49;0;3;3;1;1;0.83;3;0.41;39.25;117.76;12.17;13.94;38.57;0.00
0.00;100.00;EdgeMesurements;0;0.76;0;1;30;0;0;0.25;1;0.12;35.94;35.94;13.30;6.12;35.11;0.00
0.00;100.00;EdgeMesurements;0;3.22;0;4;31;1;1;1.07;0;0.53;47.56;152.12;10.05;45.14;47.06;19.00
