interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;100.00;EdgeMesurements;0;0.42;0;1;0;0;0;0.14;0;0.07;36.54;20.13;13.19;0.95;1.60;36.16;0.00
0.00;100.00;EdgeMesurements;0;1.76;0;4;10;7;7;0.59;0;0.29;36.13;83.23;13.22;0.95;9.48;35.75;0.00
0.00;100.00;EdgeMesurements;0;0.06;0;1;12;0;0;0.02;0;0.01;83.34;2.86;5.78;0.42;1.41;82.47;0.00
0.00;100.00;EdgeMesurements;0;0.96;0;2;13;0;0;0.32;1;0.16;40.65;45.65;11.85;0.85;7.44;39.66;0.00
0.00;100.00;EdgeMesurements;0;2.34;0;4;14;8;8;0.78;0;0.38;37.56;110.81;12.72;0.92;10.90;37.17;0.00
0.00;100.00;EdgeMesurements;0;0.37;0;1;15;1;1;0.12;0;0.06;33.05;17.33;14.46;1.04;0.52;32.71;0.00
0.00;100.00;EdgeMesurements;0;3.13;0;6;16;0;0;1.04;3;0.51;38.23;148.08;12.50;0.90;19.60;37.45;0.00
0.00;100.00;EdgeMesurements;0;14.60;14;0;17;8;8;4.87;7;2.42;60.34;690.22;7.92;0.57;296.67;59.39;114.00
0.00;100.00;EdgeMesurements;0;6.07;1;9;18;1;1;2.02;2;1.00;41.16;286.87;11.61;0.84;44.04;40.63;2.00
0.00;100.00;EdgeMesurements;0;12.95;11;5;19;34;34;4.32;7;2.13;51.98;612.19;9.19;0.66;195.86;50.79;76.00
0.00;100.00;EdgeMesurements;0;5.71;7;1;20;1;1;1.90;5;0.94;41.38;269.89;11.55;0.83;42.97;40.59;3.00
0.00;100.00;EdgeMesurements;0;4.78;4;6;21;6;6;1.59;3;0.79;43.09;225.79;11.09;0.80;43.48;42.32;17.00
0.00;100.00;EdgeMesurements;0;4.20;6;0;22;1;1;1.40;5;0.69;39.20;198.76;12.19;0.88;22.27;38.27;0.00
0.00;100.00;EdgeMesurements;0;13.01;10;11;23;12;12;4.34;8;2.14;46.21;615.22;10.34;0.74;152.78;45.26;45.00
